Vernier Format 2
Untitled.cmbl 5/18/16 21:14 .
Latest
Wavelength	Intensity
λ	I
nm	rel

350	0.001
352	0.001
354	0.001
356	0.001
358	0.001
360	0.001
362	0.001
364	0.001
366	0.001
368	0.001
370	0.001
372	0.001
374	0.001
376	0.001
378	0.00105213537501
380	0.00112941303751
382	0.00123727057504
384	0.00143852368754
386	0.00153843266549
388	0.00164187433659
390	0.00168838812964
392	0.00183348614071
394	0.00198483996256
396	0.00213976327644
398	0.00237998641017
400	0.00260593157578
402	0.00282845444491
404	0.0030673896176
406	0.00336932448467
408	0.00367052337401
410	0.00397726049582
412	0.00431950854351
414	0.00470685362709
416	0.00511852277492
418	0.00554051401053
420	0.00598739969313
422	0.00650552802079
424	0.00698520151162
426	0.00739079884312
428	0.00790083141565
430	0.0084254363474
432	0.00898707935882
434	0.00953232846613
436	0.0101146156531
438	0.0107802891178
440	0.0114568918519
442	0.0121996773842
444	0.0131066043514
446	0.0139995661411
448	0.0148344408878
450	0.0157585713347
452	0.0167300619491
454	0.0177343403717
456	0.0187027950779
458	0.0197192171331
460	0.0209356043398
462	0.022200970865
464	0.0235873689293
466	0.0251113948305
468	0.026791061624
470	0.0286039035891
472	0.0305881731689
474	0.0326900335919
476	0.0349345816988
478	0.037268183112
480	0.0395366136965
482	0.0418378320893
484	0.0441038339472
486	0.0462471851151
488	0.0483820357402
490	0.0505446143265
492	0.0526818936781
494	0.0548353645399
496	0.057011503516
498	0.0592437055964
500	0.061493718338
502	0.0637006211836
504	0.0659558961661
506	0.0682577217404
508	0.0706036691802
510	0.0729686416445
512	0.0756754573688
514	0.0781406148027
516	0.0805960573305
518	0.0829731734275
520	0.0853037389325
522	0.0876025285987
524	0.0897640952156
526	0.0919052200509
528	0.0939249085594
530	0.0958587820636
532	0.0984352561304
534	0.100267730302
536	0.101980994479
538	0.103668959421
540	0.105341947217
542	0.106971217935
544	0.108520745464
546	0.110108525437
548	0.111623848402
550	0.113111645799
552	0.114595192925
554	0.115721312462
556	0.117094757318
558	0.118413960615
560	0.119753808087
562	0.121083131077
564	0.122386547652
566	0.123678832563
568	0.124968283959
570	0.126185885529
572	0.127350662297
574	0.127704851584
576	0.128700629463
578	0.129658964476
580	0.130784274437
582	0.131538798814
584	0.132156100142
586	0.132777449348
588	0.133214620124
590	0.13355727296
592	0.133789823525
594	0.133770596107
596	0.133592489494
598	0.133235466694
600	0.132683943376
602	0.131871331956
604	0.130741366935
606	0.129305584765
608	0.127563985445
610	0.125437635362
612	0.1229866455
614	0.120244208453
616	0.117130985822
618	0.113745948213
620	0.110009757225
622	0.105703827471
624	0.101363895545
626	0.0968490953086
628	0.0919936661756
630	0.0869712620933
632	0.0817701442167
634	0.0763814072152
636	0.0709400478054
638	0.0654393869894
640	0.0598508872304
642	0.0542870795244
644	0.0488042293697
646	0.0435349047562
648	0.0385618847801
650	0.0339386014252
652	0.0296306477322
654	0.0258195710096
656	0.0224325094615
658	0.0194880833245
660	0.0168266038289
662	0.0145608043648
664	0.012651218126
666	0.0110634381531
668	0.00972156674205
670	0.00866203479077
672	0.0077026878091
674	0.0068769207869
676	0.00616348236699
678	0.00556945633508
680	0.005038779587
682	0.00455607018799
684	0.00415533030957
686	0.00380923677821
688	0.00353701701231
690	0.00325062967495
692	0.00296475752201
694	0.00276687150767
696	0.00254469822797
698	0.00235242404388
700	0.00217128152308
702	0.00202445396432
704	0.00189998172935
706	0.00178139731629
708	0.00167762445522
710	0.00154389730019
712	0.00140019764682
714	0.0013073724546
716	0.00125980989327
718	0.00120856744325
720	0.00115631302384
722	0.00112990982249
724	0.00114205345517
726	0.00113340571674
728	0.0011976197744
730	0.00113101378909
732	0.00111712220929
734	0.00113524566109
736	0.00112107808963
738	0.00107333153387
740	0.00102871288349
742	0.00100470160979
744	0.00101325735099
746	0.0010168978123
748	0.00101275793753
750	0.001
752	0.001
754	0.00102766148672
756	0.00102812147281
758	0.001
760	0.001
762	0.001
764	0.001
766	0.001
768	0.001
770	0.001
772	0.001
774	0.001
776	0.001
778	0.001
780	0.001
782	0.001
784	0.001
786	0.001
788	0.001
790	0.001
792	0.001
794	0.001
796	0.001
798	0.001
800	0.001
